# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits
411591806 2252.65899253 -158.620945896 3.29655301345 -166.70555518 3.2965263039
411591802 2258.55887877 -97.6782326613 1.87086370308 -102.657962236 1.87087557673
419734666 4019.94095312 -62.6369001722 0.0715222795543 -64.9901130759 0.0715259167991
419734662 4035.34426101 -62.6368811714 -0.071517168174 -64.9900794601 -0.0715195409358
411329626 2210.8981987 -52.2102597144 -0.534513183269 -54.8716727085 -0.534510809359
420238466 2790.76917285 -73.1885648774 0.999997408115 -76.5081 1.0
411329622 2247.64900271 -59.5662728838 -0.820680973461 -62.6025807663 -0.820676660358
420238462 2795.55232082 -63.1778411192 0.700209880744 -66.0430814199 0.700204636077
420484210 1247.78597147 -304.022405315 8.87527258982 -324.98366317 8.87520349706
411599918 3112.97898241 54.3584655972 0.0786994042642 56.7129488535 0.0787046571205
420500626 2776.01114897 -593.819988195 11.4306361176 -620.711795781 11.429884776
420500622 2784.03886107 -199.953626989 3.73202028478 -209.025030375 3.73207025369
419722286 2541.96727913 50.8116915807 0.267950820489 53.2416466896 0.267948195049
419701806 936.870036635 75.7979632115 2.41420599787 81.931558258 2.41420909206
419722282 2524.89477664 49.2677771633 0.0874884814961 51.6239777406 0.0874948750893
419701802 912.578856431 47.6487188178 1.30322599694 51.5045347381 1.30323001334
420770822 3780.37661765 846.868074434 -13.9800285691 879.916205791 -13.9824351134
411591710 2228.00854894 48.1171313193 -0.303342343215 50.5700059557 -0.303345446428
420770826 3792.96567021 284.247052852 -4.59680319036 295.303386046 -4.59703620734
411591714 2236.57768816 46.2680727383 -0.0984865955875 48.6266614828 -0.0984939193227
411591718 2254.19166175 46.2680676006 0.0984874624245 48.626631971 0.0984892729786
420496390 2279.04513522 535.785823307 -11.430253544 562.704549594 -11.4299892374
412378182 3201.95810643 105.713766779 1.63184338664 110.206131159 1.6318463199
420508846 3793.46906244 -284.251252264 4.59687451787 -295.300466201 4.59698786067
412378186 3201.28812431 144.338002071 2.4142270649 150.471644338 2.41422866822
420508842 3797.97517111 -172.898691317 2.68106770998 -179.61870049 2.68112812351
420504634 3200.81676153 64.7817342851 0.612801364008 67.5345474976 0.61279936262
420238394 2818.74098768 73.1882986462 0.99999030767 76.5081 1.0
420238390 2813.36168876 63.177671117 0.700203983811 66.0434106125 0.70021558504
419726382 3085.55237259 54.3584633861 0.0787002025789 56.712929754 0.0787014359943
420238398 2780.33105709 90.2273299332 1.42815099693 94.3195788848 1.42815119208
419726386 3071.74962506 55.7307647638 0.240080694477 58.1446612655 0.240080951305
420500570 2793.24318301 -90.2267865717 -1.42813846319 -94.3193971633 -1.42814731347
411579482 1154.09926074 -53.6220740575 1.30322195436 -57.477834859 1.30322446922
411587598 1802.34452719 86.9424883406 -1.8708743255 91.9215067983 -1.87086845758
420500574 2774.65520934 -73.1887562793 -1.00000271004 -76.5081 -1.0
411579486 1166.80503418 -85.3005271272 2.41421365449 -91.4343880253 2.4142234378
420504630 3190.88788798 59.7864966217 0.414214084022 62.3270766505 0.414213912066
420500578 2760.20998005 -63.1778346213 -0.700210040291 -66.0430184739 -0.700203099273
411587590 1765.69463484 418.126008981 -10.1529736265 442.072409847 -10.1529758436
411587594 1791.44945483 141.186957626 -3.29656784365 149.272687409 -3.29656421693
419980382 2211.30130187 -48.1172262177 -0.303347848424 -50.5699782344 -0.303343921598
419980386 2256.95447168 -46.2680764448 -0.0984895331772 -48.6266544467 -0.0984930306467
420500542 2842.08938142 90.2274148415 1.42815302833 94.3194204783 1.42814832358
419988534 3085.36572178 58.655902945 0.414217892377 61.1963518604 0.414211513475
412374098 2834.39491329 -199.954165796 -3.73203005537 -209.022629254 -3.73202389831
411345998 4130.87459441 130.365434988 1.83136928472 135.263177057 1.83137215817
412374094 2798.09547058 -593.808913531 -11.4304212471 -620.718743523 -11.4300112931
412116042 3209.64077716 144.337169128 2.41421091783 150.470418625 2.41420576856
411345994 4041.0499758 104.253541024 1.33582811981 108.171814758 1.33585836997
412374090 2780.81962703 593.80811762 11.4304065278 620.720290063 11.4300420413
412116046 3214.97192986 236.613416212 4.16536412939 246.665950593 4.16532526157
411345990 4002.30082804 88.3561264393 0.999997422261 91.6757 1.0
420488206 1554.93021555 71.3634518764 -1.59148793143 75.7756821528 -1.59150169622
420488202 1514.65107678 114.957000496 -2.85785128472 122.062538538 -2.8578196295
420238482 2826.5696141 -593.779885368 11.4298597077 -620.751793027 11.4306241566
419988530 3058.48510915 55.7308033258 0.240083820446 58.1446180808 0.240077506303
420496526 2299.65483908 -180.419174881 3.73204359097 -189.484953637 3.73197943261
420504658 3181.87122191 703.997640688 12.7060930273 733.948610519 12.7067037134
419976206 1779.27422995 86.9426995686 -1.87088098999 91.9217196274 -1.8708736531
420504702 3147.45526224 -55.4062955859 0.0787033047937 -57.7607628266 0.0787023029402
420504706 3185.84673316 -56.8050911599 0.240083064454 -59.2188868086 0.24007607217
411604082 3355.61032538 -61.629368378 -0.414203525575 -64.1699875806 -0.414205391235
411604086 3366.73850276 -58.5562325779 -0.240081135806 -60.9701428476 -0.240080562374
411858070 3777.93316049 -68.8435291899 0.546038160121 -71.5177149317 0.546033135465
411858074 3791.44853996 -75.4771452767 0.748589416881 -78.4094264878 0.748596570377
420234266 2295.89518717 57.0053678033 -0.700209927386 59.8706938223 -0.700207328498
411333706 2525.97079063 563.106601939 11.4295067532 590.105037345 11.4308456877
420504650 3181.39854967 144.337992568 2.4142263853 150.472049454 2.41423529766
412369926 2284.78083866 535.78883385 -11.4303170649 562.693477396 -11.4297644261
420234262 2274.61618695 66.0381498471 -1.00000080574 69.357474619 -0.999997016618
412378162 3183.18107791 56.8050365665 0.240078954802 59.2188955409 0.240076135981
411333702 2540.43211306 189.631868789 3.73205452369 198.701455997 3.73206881236
419963946 916.536096287 47.6487592435 1.30322740214 51.5043175352 1.30322175252
419705950 1148.1790908 -85.3008884786 2.41422496058 -91.4342934294 2.41422096301
419705954 1137.73659811 -250.084096297 7.59561821919 -268.077137352 7.59592838227
420496438 2273.41131791 57.0053537606 0.70021027375 59.8706246139 0.700204984797
419992678 3369.92914435 -87.672442089 -1.170863152 -91.2861500396 -1.17085322687
419992674 3396.71176543 -108.973309194 -1.63185583947 -113.465511319 -1.63185406746
